Точка_сбора	Высота_генеративного_побега	Длина_первого_листа	Ширина_первого_листа	Длина_второго_листа	Ширина_второго_листа	Длина_внешнего_околоцветника	Ширина_внешнего_околоцветника	Длина_внутреннего_околоцветника	Ширина_внутреннего_околоцветника	Высота_тычинки	Высота_пестика
Х	7.4	12.2	1.2	10.9	0.8	1.9	0.6	1.895	0.84	1.3	0.977
Х	8.3	13.3	1.2	11.9	0.8	2	0.6	1.954	0.835	1.2	1.005
Х	6.2	8.9	0.9	7.9	0.6	2	0.516	2.027	0.876	1.3	1.122
Х	10	15.6	1.1	14	0.8	2.4	0.6	2.307	0.843	1.5	1.089
Х	7	12.1	1.2	10.4	0.9	2	0.5	1.916	0.639	1.2	1.059
Х	5	9.5	0.8	8.5	0.6	2	0.5	1.972	0.685	1.2	0.9
Х	6	7.6	0.6	6.8	0.5	1.9	0.4	1.889	0.513	1.1	0.9
Х	12	9.3	0.9	9	0.8	2.2	0.5	2.121	0.625	1.3	1.333
Х	9.7	8.7	1.2	7.7	0.8	2.2	0.6	2.206	0.763	1.4	1.414
Х	5	9	0.8	8	0.6	1.8	0.4	1.74	0.543	1.1	0.937
Х	7.5	11.2	1	10	0.6	2.4	0.5	2.293	0.664	1.3	1.219
Х	7.5	12	1	11.2	0.6	1.9	0.6	1.891	0.886	1.2	0.906
Х	5.7	9	0.6	8	0.5	1.9	0.5	1.8	0.705	1.2	1.028
Х	5.3	9	0.8	7.5	0.6	1.7	0.4	1.685	0.54	1.1	0.967
Х	6.8	12	1.2	10	0.6	1.9	0.4	1.8	0.495	1.1	1.119
Б	5.622	9.3	1.1	8.8	0.7	2.168	0.611	2.212	0.959	1.286	1.147
Б	6.931	11.5	1.2	10	0.8	2.243	0.625	2.273	0.97	1.377	1.22
Б	6.7	11.5	1.4	9.5	1	2.222	0.674	2.271	1	1.519	1.271
Б	7.041	10.8	1	10	0.7	2.26	0.61	2.296	0.981	1.286	1.17
Б	6.002	11	1	9.2	0.6	2.139	0.557	2.157	0.882	1.242	1.193
Б	5.783	12.5	1.2	9	0.7	2.074	0.552	2.08	0.825	1.35	1.286
Б	3.5	9.2	1	7.5	0.6	1.978	0.564	1.996	0.838	1.205	1.12
Б	4.5	9.5	1.1	8.5	0.8	2.098	0.649	2.163	0.958	1.303	1.131
Б	6.647	10	1.1	9.5	0.8	2.248	0.644	2.301	1.015	1.346	1.168
Б	1.5	10.5	1.3	9.5	0.9	2.039	0.726	1.967	0.913	1.27	0.901
Б	6.726	11	1.4	10	0.9	2.266	0.664	2.301	1.009	1.446	1.216
Б	5.3	11	1	11.2	0.7	2.272	0.668	2.252	0.995	1.182	0.975
Б	6.016	10	0.9	9	0.6	2.16	0.573	2.197	0.924	1.217	1.153
Б	6.8	15	1.2	13.5	0.9	2.383	0.714	2.344	1.018	1.323	1.075
Б	11.913	16.2	1.5	15	1.1	2.686	0.737	2.688	1.169	1.598	1.305
