"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","Group"
-0.447626986258993,-0.139637327889318,-0.244066823036997,-0.0206973916955569,0.0328287149267605,0.0892483224473967,-0.0472577526775287,-0.118264387900805,-0.0544004961581922,0.0423105501988506,-0.0141317027241408,"Г"
-0.188805532314742,-0.537106210824915,-0.21147470653253,-0.0886639659483827,-0.0164171260319785,-0.00427265685727826,0.0590166887539319,-0.0704115234179792,-0.0787394926895696,-0.0575841098905852,0.0182310321809825,"Г"
0.550832500971108,-0.609254356822861,-0.0261618462206382,-0.370504853349921,0.156028343234652,-0.173927849518679,0.0815853447365566,0.00934824939723276,-0.0151287308501999,-0.00793372230320231,0.012074284396671,"Г"
0.0543693658235267,-0.201095004219772,-0.313231999681123,-0.329640384003889,-0.167922660007136,0.135293015487793,0.0338949989662044,0.103106411671472,0.0532830991093147,0.00408381018809924,-0.0130001718733259,"Г"
0.0428916663475102,-0.447580305477674,-0.328290410384956,-0.0742405756888878,-0.0699911241023694,-0.0891174422692618,0.070773912105418,-0.127015907968832,0.00721501381244647,-0.0781017223541726,-0.0102992988157286,"Г"
0.0571268980797008,-0.491371266450879,0.0041001348985733,-0.293817530452162,-0.020783837343973,-0.035048467677939,-0.053745272024567,-0.0607347890039794,0.0203364915425225,0.16370951753164,-0.100294873355359,"Г"
-0.122995557130359,-0.349400658882907,-0.138109630006248,-0.481574230652607,0.0871226489521494,-0.0455932040209808,0.0262223714800119,0.134347306491221,0.0928538816857754,0.00559435802820381,0.0206075394563858,"Г"
-0.73516261758844,-0.255728140009723,0.0759792072819149,-0.213252690006578,0.122720992257662,0.000591080369837476,0.176313798219647,-0.037434696632651,0.0325137795309818,0.0664860158071608,0.0257158026716232,"Г"
-0.361495776913104,-0.201986371290429,0.00981132795307376,-0.0823553598297716,0.115761905515875,0.0789802633792606,0.117089876571155,-0.0801427449152731,0.0292912759908294,0.0481463545313156,-0.0189877667055179,"Г"
0.605179827104816,-0.68905985568998,-0.184540030250953,-0.13144844076232,0.0758615119002626,0.0948040240259784,-0.189788669900537,-0.0137228990128017,0.0588422175553794,-0.0174163183994616,-0.00757793642573634,"Г"
-0.457602592241221,-0.085589394335142,-0.258274078750313,0.0975696621779095,0.197907216060092,0.0220226589465498,0.141290983757685,-0.196063401876925,-0.050765102879608,-0.081634246926619,0.0463313020234788,"Г"
-0.739009876523386,-0.234952523686283,0.129222752353245,-0.123945556617547,0.167842410273107,0.0305548433328228,-0.0845229902417626,0.00348894745845026,0.0143179382242432,0.0402315895570349,0.00255968108694804,"Г"
-0.49780663072239,-0.0114029187729539,-0.160602691553713,-0.230196069175173,-0.0832791476526761,0.158566760334927,-0.0394750792997293,0.0556771337509395,-0.058462576034946,0.0105718034310698,-0.0698083880528747,"Г"
-0.349445921661003,-0.385279575637684,0.00826430265624711,-0.0172010597300747,0.299397156833282,-0.0386593293264179,0.203647434431213,-0.10199770419507,-0.0888207913649657,-0.075904865995803,0.0293749628155256,"Г"
-0.362294230571711,0.166439445000605,-0.130839758429139,-0.00264652202835437,0.0755361443777886,-0.00313865737761357,0.0802251259304043,-0.0590516880146819,-0.0509954170087296,0.10593464255194,0.013281971037174,"Г"
0.655706820979783,0.372114467845929,0.296545396693691,-0.154708657451378,-0.252869248919172,-0.11821933643859,-0.0574099877958023,-0.102173699810305,0.0124164997525732,0.0496881701670147,0.0611337063811401,"И"
